200-Level Campaign Order
4 Easy -> 1 Hard -> 4 Easy -> 1 Very Hard

001: 1_Level_EZ_1
002: 2_Level_EZ_2
003: 3_Level_EZ_3
004: 4_Level_EZ_4
005: 5_Level_H_1
006: 6_Level_EZ_5
007: 7_Level_EZ_6
008: 8_Level_EZ_7
009: 9_Level_EZ_8
010: 10_Level_VH_1
011: 11_Level_EZ_9
012: 12_Level_EZ_10
013: 13_Level_EZ_11
014: 14_Level_EZ_12
015: 15_Level_H_2
016: 16_Level_EZ_13
017: 17_Level_EZ_14
018: 18_Level_EZ_15
019: 19_Level_EZ_16
020: 20_Level_VH_2
021: 21_Level_EZ_17
022: 22_Level_EZ_18
023: 23_Level_EZ_19
024: 24_Level_EZ_20
025: 25_Level_H_3
026: 26_Level_EZ_21
027: 27_Level_EZ_22
028: 28_Level_EZ_23
029: 29_Level_EZ_24
030: 30_Level_VH_3
031: 31_Level_EZ_25
032: 32_Level_EZ_26
033: 33_Level_EZ_27
034: 34_Level_EZ_28
035: 35_Level_H_4
036: 36_Level_EZ_29
037: 37_Level_EZ_30
038: 38_Level_EZ_31
039: 39_Level_EZ_32
040: 40_Level_VH_4
041: 41_Level_EZ_33
042: 42_Level_EZ_34
043: 43_Level_EZ_35
044: 44_Level_EZ_36
045: 45_Level_H_5
046: 46_Level_EZ_37
047: 47_Level_EZ_38
048: 48_Level_EZ_39
049: 49_Level_EZ_40
050: 50_Level_VH_5
051: 51_Level_EZ_41
052: 52_Level_EZ_42
053: 53_Level_EZ_43
054: 54_Level_EZ_44
055: 55_Level_H_6
056: 56_Level_EZ_45
057: 57_Level_EZ_46
058: 58_Level_EZ_47
059: 59_Level_EZ_48
060: 60_Level_VH_6
061: 61_Level_EZ_49
062: 62_Level_EZ_50
063: 63_Level_EZ_51
064: 64_Level_EZ_52
065: 65_Level_H_7
066: 66_Level_EZ_53
067: 67_Level_EZ_54
068: 68_Level_EZ_55
069: 69_Level_EZ_56
070: 70_Level_VH_7
071: 71_Level_EZ_57
072: 72_Level_EZ_58
073: 73_Level_EZ_59
074: 74_Level_EZ_60
075: 75_Level_H_8
076: 76_Level_EZ_61
077: 77_Level_EZ_62
078: 78_Level_EZ_63
079: 79_Level_EZ_64
080: 80_Level_VH_8
081: 81_Level_EZ_65
082: 82_Level_EZ_66
083: 83_Level_EZ_67
084: 84_Level_EZ_68
085: 85_Level_H_9
086: 86_Level_EZ_69
087: 87_Level_EZ_70
088: 88_Level_EZ_71
089: 89_Level_EZ_72
090: 90_Level_VH_9
091: 91_Level_EZ_73
092: 92_Level_EZ_74
093: 93_Level_EZ_75
094: 94_Level_EZ_76
095: 95_Level_H_10
096: 96_Level_EZ_77
097: 97_Level_EZ_78
098: 98_Level_EZ_79
099: 99_Level_EZ_80
100: 100_Level_VH_10
101: 101_Level_EZ_81
102: 102_Level_EZ_82
103: 103_Level_EZ_83
104: 104_Level_EZ_84
105: 105_Level_H_11
106: 106_Level_EZ_85
107: 107_Level_EZ_86
108: 108_Level_EZ_87
109: 109_Level_EZ_88
110: 110_Level_VH_11
111: 111_Level_EZ_89
112: 112_Level_EZ_90
113: 113_Level_EZ_91
114: 114_Level_EZ_92
115: 115_Level_H_12
116: 116_Level_EZ_93
117: 117_Level_EZ_94
118: 118_Level_EZ_95
119: 119_Level_EZ_96
120: 120_Level_VH_12
121: 121_Level_EZ_97
122: 122_Level_EZ_98
123: 123_Level_EZ_99
124: 124_Level_EZ_100
125: 125_Level_H_13
126: 126_Level_EZ_101
127: 127_Level_EZ_102
128: 128_Level_EZ_103
129: 129_Level_EZ_104
130: 130_Level_VH_13
131: 131_Level_EZ_105
132: 132_Level_EZ_106
133: 133_Level_EZ_107
134: 134_Level_EZ_108
135: 135_Level_H_14
136: 136_Level_EZ_109
137: 137_Level_EZ_110
138: 138_Level_EZ_111
139: 139_Level_EZ_112
140: 140_Level_VH_14
141: 141_Level_EZ_113
142: 142_Level_EZ_114
143: 143_Level_EZ_115
144: 144_Level_EZ_116
145: 145_Level_H_15
146: 146_Level_EZ_117
147: 147_Level_EZ_118
148: 148_Level_EZ_119
149: 149_Level_EZ_120
150: 150_Level_VH_15
151: 151_Level_EZ_121
152: 152_Level_EZ_122
153: 153_Level_EZ_123
154: 154_Level_EZ_124
155: 155_Level_H_16
156: 156_Level_EZ_125
157: 157_Level_EZ_126
158: 158_Level_EZ_127
159: 159_Level_EZ_128
160: 160_Level_VH_16
161: 161_Level_EZ_129
162: 162_Level_EZ_130
163: 163_Level_EZ_131
164: 164_Level_EZ_132
165: 165_Level_H_17
166: 166_Level_EZ_133
167: 167_Level_EZ_134
168: 168_Level_EZ_135
169: 169_Level_EZ_136
170: 170_Level_VH_17
171: 171_Level_EZ_137
172: 172_Level_EZ_138
173: 173_Level_EZ_139
174: 174_Level_EZ_140
175: 175_Level_H_18
176: 176_Level_EZ_141
177: 177_Level_EZ_142
178: 178_Level_EZ_143
179: 179_Level_EZ_144
180: 180_Level_VH_18
181: 181_Level_EZ_145
182: 182_Level_EZ_146
183: 183_Level_EZ_147
184: 184_Level_EZ_148
185: 185_Level_H_19
186: 186_Level_EZ_149
187: 187_Level_EZ_150
188: 188_Level_EZ_151
189: 189_Level_EZ_152
190: 190_Level_VH_19
191: 191_Level_EZ_153
192: 192_Level_EZ_154
193: 193_Level_EZ_155
194: 194_Level_EZ_156
195: 195_Level_H_20
196: 196_Level_EZ_157
197: 197_Level_EZ_158
198: 198_Level_EZ_159
199: 199_Level_EZ_160
200: 200_Level_VH_20
