Generated DX Campaign 200
Generated: 2026-07-29 14:52:16
Cadence: 4 Easy, 1 Hard, 4 Easy, 1 Very Hard.
Easy uses Complex Guided DX. Hard and Very Hard use Complex Guided DX Flow.
Exactly 50 deterministic random campaign positions use custom board shapes.
Coverage target: 100% of every active board cell.

001. 1_Level_EZ_1 [EASY]: 10x9 Rectangle, DX complexity 66%, 14 arrows, 90/90 cells (100.0 %), waves 9, widest 2, >2 waves 0, initial 2, avg turns 2.21, longest 12, cross T>B 2/B>T 1, L>R 2/R>L 1, regions 6, streak 2, backtrack H5/V3, seed campaign.
002. 2_Level_EZ_2 [EASY]: 11x9 Arrowhead, DX complexity 68%, 13 arrows, 69/69 cells (100.0 %), waves 5, widest 4, >2 waves 3, initial 4, avg turns 1.62, longest 12, cross T>B 0/B>T 2, L>R 2/R>L 0, regions 1, streak 3, backtrack H1/V0, seed campaign.
003. 3_Level_EZ_3 [EASY]: 11x10 Arrowhead, DX complexity 70%, 12 arrows, 71/71 cells (100.0 %), waves 10, widest 2, >2 waves 0, initial 2, avg turns 1.92, longest 10, cross T>B 1/B>T 0, L>R 2/R>L 1, regions 4, streak 3, backtrack H6/V3, seed campaign.
004. 4_Level_EZ_4 [EASY]: 12x10 Beveled, DX complexity 72%, 12 arrows, 75/75 cells (100.0 %), waves 9, widest 2, >2 waves 0, initial 2, avg turns 2.25, longest 10, cross T>B 0/B>T 3, L>R 1/R>L 1, regions 6, streak 2, backtrack H3/V5, seed campaign.
005. 5_Level_H_1 [HARD]: 16x15 Rectangle, DX Flow complexity 92%, 24 arrows, 240/240 cells (100.0 %), waves 18, widest 2, >2 waves 0, initial 2, avg turns 2.92, longest 21, cross T>B 4/B>T 2, L>R 1/R>L 2, regions 9, streak 3, backtrack H11/V9, seed campaign.
006. 6_Level_EZ_5 [EASY]: 11x10 Hexagon, DX complexity 71%, 13 arrows, 81/81 cells (100.0 %), waves 8, widest 2, >2 waves 0, initial 2, avg turns 2.31, longest 11, cross T>B 3/B>T 2, L>R 1/R>L 0, regions 4, streak 3, backtrack H3/V2, seed campaign.
007. 7_Level_EZ_6 [EASY]: 12x10 Hexagon, DX complexity 73%, 12 arrows, 64/64 cells (100.0 %), waves 7, widest 3, >2 waves 1, initial 2, avg turns 1.75, longest 9, cross T>B 1/B>T 1, L>R 1/R>L 3, regions 6, streak 1, backtrack H1/V3, seed campaign.
008. 8_Level_EZ_7 [EASY]: 12x11 Rectangle, DX complexity 75%, 17 arrows, 132/132 cells (100.0 %), waves 11, widest 3, >2 waves 1, initial 2, avg turns 2.59, longest 14, cross T>B 1/B>T 2, L>R 2/R>L 2, regions 7, streak 2, backtrack H6/V6, seed campaign.
009. 9_Level_EZ_8 [EASY]: 13x11 Rectangle, DX complexity 77%, 18 arrows, 143/143 cells (100.0 %), waves 11, widest 2, >2 waves 0, initial 2, avg turns 2.39, longest 15, cross T>B 2/B>T 1, L>R 2/R>L 2, regions 7, streak 3, backtrack H6/V5, seed campaign.
010. 10_Level_VH_1 [VERY HARD]: 19x18 Rectangle, DX Flow complexity 98%, 27 arrows, 342/342 cells (100.0 %), waves 20, widest 3, >2 waves 1, initial 1, avg turns 3.52, longest 24, cross T>B 4/B>T 4, L>R 2/R>L 3, regions 9, streak 6, backtrack H10/V7, seed campaign.
011. 11_Level_EZ_9 [EASY]: 12x11 Rectangle, DX complexity 76%, 15 arrows, 132/132 cells (100.0 %), waves 9, widest 2, >2 waves 0, initial 1, avg turns 3.00, longest 14, cross T>B 2/B>T 2, L>R 1/R>L 3, regions 4, streak 2, backtrack H3/V2, seed campaign.
